,genus,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Candidatus_Methanoperedens,,,,,,,,,,,,,,,,,,,,,,,,0.05322462954123495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Candidatus_Nitrosocosmicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04062222318511938,,,,,
2,Candidatus_Nitrosopelagicus,,,0.09016696346674323,,0.04319342127906801,,,,,,,,0.18586407545691702,0.14491376746189438,0.30151134457776363,,0.847219807922583,0.8355255717390164,0.3244428422615251,0.28867513459481287,,,,,,,,,0.053916386601719206,0.05707301455353496,,,,0.06697997263332837,0.2471208252860862,0.26111648393354675,0.3643239750042352,,,,,,,,,,0.03943615033625495,,0.028724249481071305,0.04364357804719848,0.06415002990995843,,,
3,Candidatus_Nitrosotalea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020725666807241958,,0.035844059115504805,,,,,,,,,,,,,,,
4,Candidatus_Nitrosotenuis,,,,,,,,0.028629916715693413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cenarchaeum,0.04740454631399772,,0.06375767130633384,0.09025873648130484,,,,0.06401843996644799,,,0.03857583749052298,,,,,,,,,,,,,,,,,0.07001400420140048,0.053916386601719206,0.11414602910706992,,,,,,,,,,,,,,0.06839055837767723,,,,,0.04062222318511938,,0.07590333900710813,0.06274558051381586,0.05796087030059365,0.0826898230594723
6,Haloarcula,,,,,,,0.24253562503633297,,,,,,,,,,,,,,,,,,,,,,,,,,0.049507377148833714,,,,,,,,,,,,,0.04287464628562721,,,,,,,,
7,Halococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07426106572325057,,,,,,,,
8,Halopiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028724249481071305,,,,,
9,Halostagnicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04062222318511938,,,,,
10,Lokiarchaeum,,,,,0.07481320020807247,0.04032389192727559,,0.13730425709494024,0.11295649894498101,0.13041013273932528,0.0944911182523068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050031279327425994,0.08092079995461407,,,0.03943615033625495,,0.08124444637023875,0.07559289460184544,0.08606629658238704,0.0810041961260418,,
11,Methanobacterium,,,,,,,,0.04958847036804647,,,0.0668153104781061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04975185951049946,,0.04057204129667897,0.03622617780011092,,
12,Methanobrevibacter,,,,,,,,0.0404888165089458,0.16466097788958206,0.07142857142857142,0.03857583749052298,,,,,,,,,,,0.038895492079220696,,,,,0.023479095302146476,,,,,,,,,,,0.03129587719622029,,,0.05006261743217589,,,,,,,,0.1112485398724962,0.06900655593423542,0.049690399499995326,0.09584545740950244,,
13,Methanococcoides,0.25084128112136317,0.12461119656980671,,,0.07481320020807247,,,0.0404888165089458,0.056478249472490506,,,,,,,,,,,,,0.08697296430744211,,,,0.03128056235449272,,0.07001400420140048,0.053916386601719206,,,,,,,,,,,,,,,0.030585187510330805,,0.08574929257125442,,,0.028724249481071305,,0.028688765527462346,0.03622617780011092,0.10582158705422127,0.07161148740394328
14,Methanocorpusculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04425905397725761,,,0.07079923254047887,,,,,,,,,,,,,
15,Methanoculleus,,,,,,,,,,0.041239304942116126,,,,,,,,,,,,,,,,0.03831070831790977,0.023479095302146476,,,,,,,,,,,,,,,,,,,,,,0.04062222318511938,0.03086066999241838,,,,
16,Methanogenium,,,,,,,,,,,,,,,,,,,,,,,,0.03763549647474907,0.10929497926010864,,,,,0.040356715613563084,,,,,,,,,,,0.05006261743217589,,,,,,,,,,0.05737753105492469,,,
17,Methanolobus,0.04740454631399772,,,,,,,,,,,,,,,,,,,,,,,0.03763549647474907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05796087030059365,0.04134491152973615
18,Methanomassiliicoccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04325398698483402,,,,,,,,,,
19,Methanoplanus,,,,,,,,,,,,,,,,,,,,,,,,,,0.02211869776019044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Methanosarcina,0.04740454631399772,,,,,,,0.06401843996644799,0.03993615319154359,0.05832118435198043,0.03857583749052298,,,,,,,,,,,,,0.07527099294949814,0.07155035936258235,,,0.07001400420140048,,0.13384808346126617,0.12674485010489558,0.051502620262460476,,,0.06178020632152155,,,,,,,,,,,,,,0.0861727484432139,0.06172133998483676,0.04057204129667897,0.06274558051381586,,0.04134491152973615
21,Methanosphaera,,,,,,,,0.04958847036804647,0.03993615319154359,,0.05455447255899809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028688765527462346,,,
22,Methanothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05006261743217589,,,,,,,,,,,,,
23,Nitrosopumilus,0.5688545557679726,0.34802013220841155,0.2705008904002297,0.518496966114223,0.590661152451154,,,0.3710861329028436,0.2934695928267111,0.32471861183299655,0.3779644730092272,,,0.03162277660168379,,,0.04038961958610097,0.02328100985898594,,,0.0601929265428846,0.10290779916310056,0.053738150125194,0.15054198589899628,0.14894395033467095,0.11704114719613055,0.08133397195813888,0.3570027736477083,0.17882042440964765,0.32285372490850467,0.23711790231526925,0.10300524052492095,0.049507377148833714,0.05188246370766186,0.1381447409988844,0.10660035817780522,0.11539562904525084,0.0699797088262341,0.1308839982007377,0.11174753906691855,0.11194341570991125,,0.4914793382482179,0.4688620461659191,,,,,0.34588576683114564,0.35856858280031806,0.3076527356636324,0.3320184038158743,0.4895320799853942,0.4695879262851852
24,Nitrososphaera,,,,,,,0.14002800840280097,,,0.041239304942116126,,,,,,,,,,,,,,,,,,,,,0.10976425998969035,,,,,,,,,,,,,,,,,,,,0.04057204129667897,0.051231551957855996,,
25,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
