,species,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Candidatus_Bathyarchaeota_archaeon_JdFR-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02706659809803834,,,,,
1,Candidatus_Bathyarchaeota_archaeon_TCS64,0.05778319966569877,,,,0.03739787960033829,0.08290266722896783,,0.05982556366042065,0.07580980435789034,0.13099880315276585,0.10846522890932808,,,,,,,,,,0.04287464628562721,,,,,,0.02341464528954235,,0.052999894000318,,,,,,,,,,,,,0.11076975512434226,0.07836611972385249,0.07386448800123854,0.11076975512434226,0.130066495428618,0.11259790597991513,0.09268799972000809,0.06052275326688024,0.08729639429689881,0.03869116162670684,0.10891462805350444,0.06057825328153827,0.037502930030867465
2,Candidatus_Diapherotrites_archaeon_ADurb.Bin253,,,,,,0.0717958158617738,,,,0.03949762527666822,,,,,,,,,,,,,,,,0.022000616025873207,,,,,,,,,,,,,,,,,0.0319928344075492,,,0.086710996952412,0.03980937143290165,0.058621038176054914,0.038277950117547636,,,,,
3,Candidatus_Heimdallarchaeota_archaeon_AB_125,,,,,,0.058621038176054914,,0.06553562146454746,,0.03949762527666822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05538487756217113,,,0.05538487756217113,,0.03980937143290165,,0.02706659809803834,0.04115191492031454,0.03869116162670684,0.05965499862718936,0.08013749652081635,
4,Candidatus_Hydrothermarchaeota_archaeon_JdFR-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027918152281484514,,,,,0.02706659809803834,,,,,0.037502930030867465
5,Candidatus_Nitrosocosmicus_exaquare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038277950117547636,,,,,
6,Candidatus_Nitrosopumilus_salaria,,,,0.0401286176952564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0319928344075492,0.06242688630759022,,,,,,,,,,
7,Candidatus_Nitrosopumilus_sediminis,0.08171778464454368,,,0.056750435383916574,0.05288858853479451,,,0.04634068234685616,0.05360562674188974,0.05585807734779456,0.06262242910851495,,,,,,,,,,,,,0.03721614637823934,,,,,,0.09325048082403138,,,,0.03697790613850833,0.06008417681261097,,,,,,,,0.07836611972385249,0.1216924044853705,,,,,0.06052275326688024,0.02909879809896627,0.05471756551645828,0.09112451559719398,0.09086737992230741,0.09186304243492506
8,Candidatus_Nitrososphaera_gargensis,,,,,,,,,,0.03949762527666822,,,,,,,,,,,,,,,,,,,,,0.06097107608496924,,,,,,,,,,,,,,,,,,,,,,,
9,Candidatus_Nitrosotalea_devanaterra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019525441139613995,,0.03576755089782001,,,,,,,,,,,,,,,
10,Candidatus_Nitrosotenuis_chungbukensis,,,,,,,,0.026754805427388343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cenarchaeum_symbiosum,,,,,,,,0.026754805427388343,,,,,,,,,,,,,,,,,,,,,,0.05383819020581655,,,,,,,,,,,,,,,,,,,,,,,,
12,Euryarchaeota_archaeon_SCGC_AAA286-E23,,,,,,,,,,,,,,,,,,,,,,0.038749212914606423,,,,0.038106184754626474,,,,,,0.051917413165116506,,,,,,,,,,,,,,,,,,,,,,
13,Euryarchaeota_archaeon_SM23-78,,,,,,,,0.026754805427388343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05538487756217113,,,0.05538487756217113,,,,0.02706659809803834,,0.03869116162670684,,,
14,Halococcus_hamelinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07509392614826382,,,,,,,,
15,Halostagnicola_larsenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038277950117547636,,,,,
16,Lokiarchaeum_sp._GC14_75,,,,,,,,0.07567401738813177,0.06565321642986127,0.06841189375750609,0.07231015260621872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04524470031791268,0.04835565820497615,,,,,0.046880723093849545,0.05040059674659824,0.06117609802904955,,,
17,Marine_Group_I_thaumarchaeote_SCGC_AAA799-D07,,,,,,,,,,,,,,,,,0.014291548761875737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Marine_group_II_euryarchaeote_REDSEA-S03_B6,,,,,,,,,,,,,0.16734280196490983,0.1768658638749664,,0.15811388300841897,0.2749034292707834,0.27071695778594423,0.3131121455425747,0.3423265984407288,,,,,,,,,,,,,,0.021349204063136496,0.10406884697039404,,0.043660213678847856,,,,,,,,,,,,,,,,,
19,Methanobacterium_formicicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02735878275822914,,,
20,Methanobacterium_lacus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02706659809803834,,,,,
21,Methanobacterium_sp._SMA-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02706659809803834,,,,,
22,Methanobrevibacter_arboriphilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038277950117547636,,,,,
23,Methanobrevibacter_sp._YE315,,,,,,,,,,,,,,,,,,,,,,0.038749212914606423,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046880723093849545,,,,,
24,Methanococcoides_burtonii,0.1355136151825087,0.11768778828946261,,,,,,0.037837008694065886,,,,,,,,,,,,,,0.07749842582921285,,,,0.031113569564352753,,0.06565321642986127,0.052999894000318,,,,,,,,,,,,,,,0.027918152281484514,,,,,,,,0.034441829515914534,0.042835293687811936,0.053037152278382
25,Methanococcoides_methylutens,0.08171778464454368,,,,0.03739787960033829,,,,,,,,,,,,,,,,,0.038749212914606423,,,,,,,,,,,,,,,,,,,,,,,,0.043355498476206,,,0.02706659809803834,,0.02735878275822914,,0.042835293687811936,
26,Methanocorpusculum_bavaricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07062245515464487,,,,,,,,,,,,,
27,Methanogenium_cariaci,,,,,,,,,,,,,,,,,,,,,,,,0.03721614637823934,0.09136326071794408,,,,,,,,,,,,,,,,0.04993761694389223,,,,,,,,,,,,,
28,Methanomassiliicoccales_archaeon_RumEn_M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037502930030867465
29,Methanosaeta_sp._PtaB.Bin018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04993761694389223,,,,,,,,,,,,,
30,Methanosarcina_mazei,,,,,,,,0.026754805427388343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Methanosarcina_sp._MTP4,,,,,,,,0.037837008694065886,,,,,,,,,,,,,,,,0.05263157894736842,0.04085889232227184,,,,,0.05383819020581655,,,,,,,,,,,,,,,,,,,0.038277950117547636,,,,,
32,Methanosarcina_thermophila,,,,,,,,0.026754805427388343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Methanosphaera_stadtmanae,,,,,,,,0.026754805427388343,0.03790490217894517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Nitrosopumilus_sp._LS_AOA,,,,,0.05288858853479451,,,,,0.03949762527666822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0319928344075492,,,,,,,,,,,
35,Nitrosopumilus_sp._Nsub,,,,,,,,,,,,,,,,,0.024753688574416857,,,,,,,,,,,,,,,,,,,,0.07305751107005651,0.04428074427700476,0.10529681876791874,0.07049949593040614,0.09987523388778446,,,,,,,,,,,,,
36,Thaumarchaeota_archaeon_CSP1-1,,,,,0.03739787960033829,,,0.037837008694065886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02706659809803834,,,,,
37,Thaumarchaeota_archaeon_SCGC_AAA282-K18,,,,,0.03739787960033829,,,,,,,,,,,,,,,,,,,,,0.031113569564352753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Thermoplasmatales_archaeon_SCGC_AB-539-C06,,,,0.06950480468569159,0.09894548898363073,0.20725666807241958,,0.026754805427388343,0.07580980435789034,0.09674902797949238,0.03615507630310936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0959294219086619,,,0.0959294219086619,0.07509392614826382,0.0796187428658033,0.11724207635210983,0.05413319619607668,0.07698818322074383,0.09864349406907527,0.06888365903182907,0.09086737992230741,0.037502930030867465
39,Thermoplasmatales_archaeon_SCGC_AB-539-N05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041451333614483915,,,,,,
40,methanogenic_archaeon_mixed_culture_ISO4-G1,,,,,,,,,,,,,,,,,,,,,,,,0.06446025638903101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,planktonic_euryarchaeote,,,,,,,,,,,,,,,,,,,,,0.12862393885688164,0.038749212914606423,0.09107860971749261,0.03721614637823934,0.08171778464454368,0.044001232051746414,0.040555355282690636,,,,,0.16417727582577962,0.18095743129130287,0.1463627690503424,0.10406884697039404,0.1557522394953495,0.09956060538239911,0.0828416869579514,0.041300810278220045,0.04985067164262359,,,,,,,,,,,,,,
42,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
